"site_name","year","species","acorn_count","mean_max_April_temp","mean_max_March_temp","March_rain","April_rain","March_rain_lagged1","April_rain_lagged1","mean_max_summer_temp"
"POZO",1998,"Q. lobata",0.328,1829,1654,8552,5149,23,0,2831
"POZO",1999,"Q. lobata",2.523,1871,1530,11744,3701,8552,5149,2953
"POZO",2000,"Q. lobata",3.403,2301,1772,4359,5755,11744,3701,3118
"POZO",2001,"Q. lobata",2.14,1913,1907,11780,2018,4359,5755,3241
"POZO",2002,"Q. lobata",3.329,2169,1816,3593,499,11780,2018,3117
"POZO",2003,"Q. lobata",0.144,1817,1904,5530,3120,3593,499,3112
"POZO",2004,"Q. lobata",2.128,2466,2353,1264,0,5530,3120,3105
"POZO",2005,"Q. lobata",0.921,2023,1819,9323,861,1264,0,3116
"POZO",2006,"Q. lobata",0.916,1556,1020,14258,13940,9323,861,3009
"POZO",2007,"Q. lobata",1.905,2067,1926,636,1676,14258,13940,3020
"POZO",2008,"Q. lobata",0.058,2011,1610,0,77,636,1676,2959
"POZO",2009,"Q. lobata",0,1803,1509,3517,1052,0,77,2936
"POZO",2010,"Q. lobata",1.979,1545,1405,3074,7224,3517,1052,2809
"POZO",2011,"Q. lobata",0.087,1633,1294,19140,296,3074,7224,2616
"SEDGWICK",1994,"Q. douglasii",3.374,2226,2202,7852,2173,16979,101,2994
"SEDGWICK",1995,"Q. douglasii",0.069,2247,1901,33003,1352,7852,2173,2925
"SEDGWICK",1996,"Q. douglasii",3.373,2594,2178,4880,2023,33003,1352,3192
"SEDGWICK",1997,"Q. douglasii",3.794,2454,2448,156,75,4880,2023,3085
"SEDGWICK",1998,"Q. douglasii",0.347,2071,1943,9527,8612,156,75,2801
"SEDGWICK",1999,"Q. douglasii",3.14,2015,1803,13351,7329,9527,8612,2829
"SEDGWICK",2000,"Q. douglasii",4.095,2446,2024,7024,11848,13351,7329,3037
"SEDGWICK",2001,"Q. douglasii",1.428,2087,2068,18403,4830,7024,11848,3120
"SEDGWICK",2002,"Q. douglasii",3.386,2358,2052,2147,505,18403,4830,3002
"SEDGWICK",2003,"Q. douglasii",0.329,2057,2150,7542,6435,2147,505,3022
"SEDGWICK",2004,"Q. douglasii",1.62,2588,2489,1345,130,7542,6435,3058
"SEDGWICK",2005,"Q. douglasii",1.487,2206,2026,8847,2679,1345,130,3010
"SEDGWICK",2006,"Q. douglasii",2.467,1879,1532,12179,16113,8847,2679,3081
"SEDGWICK",2007,"Q. douglasii",3.27,2369,2287,1226,2085,12179,16113,3072
"SEDGWICK",2008,"Q. douglasii",1.309,2413,2115,789,333,1226,2085,3086
"SEDGWICK",2009,"Q. douglasii",0.299,2249,1958,2484,868,789,333,3087
"SEDGWICK",2010,"Q. douglasii",2.642,1990,1999,1350,7408,2484,868,2850
"SEDGWICK",2011,"Q. douglasii",1.248,2225,1834,22281,492,1350,7408,2812
"SEDGWICK",1994,"Q. lobata",2.882,2226,2202,7852,2173,16979,101,2994
"SEDGWICK",1995,"Q. lobata",0.226,2247,1901,33003,1352,7852,2173,2925
